y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
cloze_s,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,full,-1.3354103801132653,0.3319401855937918,0.6476250945532597,0.33204802936798783,0.6112731653016004,0.2985107249339354,4191.423234492094,4921.483652269724,5.027126532813981e-119,,,2.4292086307217873e-57,7.000054650460684e-08
cloze_s,Surprisal,gpt2_large,,,full,-1.4183794668643601,0.24897109884269697,0.584021384203333,0.2684443190180612,0.5820242303552009,0.2692617899875359,4174.688596846304,4217.0109399058765,7.48040692829956e-160,,,,
cloze_s,IAS (mean),gpt2_large,Smean,cosine_std,full,-1.2891958741499956,0.3781546915570615,0.6787348903040527,0.3631578251187808,0.6458590024796367,0.3330965621119717,4053.922303007787,4778.692427902971,1.035782546366067e-143,1.3299188838605508e-23,,,
cloze_s,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,full,-1.2270964816991548,0.44025408400790234,0.7162572878892244,0.40068022270395254,0.6869856376187603,0.3742231972510953,3873.846884341922,4603.907302119553,3.011773727237068e-176,,,9.74352764651647e-38,5.733136061213633e-50
cloze_s,IAS (min),gpt2_large,Smin,cosine_std,full,-1.4250015261352966,0.24234903957176046,0.5784754697965554,0.26289840461128355,0.5353397767132835,0.2225773363456185,4452.10447462869,5176.874599523873,2.841017354475835e-74,1.0,,,
cloze_s,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,full,-1.3311372890416544,0.3362132766654027,0.6506237230144665,0.3350466578291946,0.6145811402230372,0.30181869985537224,4178.8945314701305,4908.954949247761,3.0747878997243117e-121,,,3.8587105373696073e-56,7.912465199526754e-09
cloze_s,Surprisal,gpt2_xl,,,full,-1.406480852115021,0.26086971359203615,0.5938036655484615,0.2782266003631897,0.5918534773857997,0.27909103701813476,4139.801858401242,4182.124201460814,2.1476354281814626e-167,,,,
cloze_s,IAS (mean),gpt2_xl,Smean,cosine_std,full,-1.2871814938399615,0.3801690718670956,0.6800265868114691,0.36444952162619726,0.647282881624381,0.334520441256716,4048.016139938767,4772.786264833951,8.93298685733245e-145,8.211686117245574e-20,,,
cloze_s,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,full,-1.215939993092426,0.45141057261463113,0.7225183216449043,0.4069412564596324,0.6938925762121873,0.38113013584452227,3841.136059746993,4571.196477524623,3.002907519434005e-182,,,4.881071143675738e-43,1.2537306009804553e-49
cloze_s,IAS (min),gpt2_xl,Smin,cosine_std,full,-1.4022256363375447,0.2651249293695124,0.5972459034098101,0.28166883822453825,0.5560310372425672,0.2432685968749022,4385.325565741681,5110.095690636865,1.6450318021609804e-85,0.9999999999999999,,,
cloze_s,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,full,-1.2972845528828114,0.37006601282424567,0.6734954035249711,0.3579183383396992,0.6398123239187369,0.3270498835510719,4079.638309052403,4809.698726830034,6.4151492268575634e-139,,,1.5004817312918988e-62,6.333068445833776e-16
entropy,Baseline,,,,full,-1.0129274504677894,,0.20960375005725218,,0.20635331996838546,,2983.903284771559,3020.935334948685,,,,,
entropy,Surprisal,gpt2_small,,,full,-0.9376946599973365,0.07523279047045295,0.32001630429664996,0.11041255423939778,0.31675163634745684,0.11039831637907138,2765.3207431121905,2807.643086171763,1.282573194942033e-49,,,,
entropy,IAS (mean),gpt2_small,Smean,cosine_std,full,-0.6960619647476584,0.31686548572013107,0.5806090958449204,0.3710053457876682,0.5376917422218273,0.3313384222534418,2314.8536806401344,3039.623805535318,9.868616162413e-112,3.04478624773421e-74,,,
entropy,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,full,-0.6960618566650428,0.3168655938027466,0.5806091865026421,0.37100543644538997,0.5373437185439538,0.33099039857556833,2316.8533637419055,3046.913781519536,2.9767466742671025e-111,,,0.9864845816939286,7.731151153783409e-74
entropy,IAS (min),gpt2_small,Smin,cosine_std,full,-0.8610589506233957,0.15186849984439377,0.41664413557740587,0.2070403855201537,0.3569478243949583,0.15059450442657285,2798.624843227796,3523.3949681229797,1.259936365477706e-32,4.4121050879958465e-06,,,
entropy,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,full,-0.8327912411699177,0.18013620929787177,0.44870945045499233,0.23910570039774015,0.39183685611187025,0.18548353614348478,2717.7439191101985,3447.804336887829,1.214767959997295e-44,,,4.587321538980817e-18,1.9516550055858933e-14
entropy,Surprisal,gpt2_medium,,,full,-0.9337956664575022,0.0791317840102872,0.3252981875760437,0.1156944375187915,0.32205887846289705,0.11570555849451158,2753.8888940533966,2796.2112371129692,4.2577723532475996e-52,,,,
entropy,IAS (mean),gpt2_medium,Smean,cosine_std,full,-0.6835837771203431,0.3293436733474463,0.5909460496778347,0.3813422996205825,0.5490865032189826,0.3427331832505971,2278.267634516846,3003.03775941203,3.574961137442585e-118,1.8765623919093276e-78,,,
entropy,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,full,-0.6794755632896893,0.33345188717810015,0.5942932420575638,0.38468949200031166,0.552439457540912,0.3460861375725265,2268.222351565369,2998.2827693429995,8.293649390049002e-120,,,0.0009578545082647928,4.6213502199528135e-80
entropy,IAS (min),gpt2_medium,Smin,cosine_std,full,-0.8654151374453565,0.14751231302243295,0.411539516935717,0.20193576687846482,0.35132083695321703,0.14496751698483157,2811.397182989785,3536.167307884969,8.43785010672387e-31,0.00036593707359926664,,,
entropy,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,full,-0.8376953404416229,0.17523211002616657,0.4432756790967961,0.23367192903954392,0.3858425224975951,0.17948920252920963,2732.122738174838,3462.1831559524685,1.875460923021463e-42,,,9.584930653556536e-18,1.5798217040427504e-11
entropy,Surprisal,gpt2_large,,,full,-0.9412620113899056,0.07166543907788381,0.31514747455606307,0.10554372449881089,0.31185943088109214,0.10550611091270667,2775.780217395203,2818.102560454776,2.3802947631452077e-47,,,,
entropy,IAS (mean),gpt2_large,Smean,cosine_std,full,-0.6912078378898309,0.32171961257795856,0.5846609491147696,0.37505719905751744,0.5421582320941591,0.3358049121257737,2300.621380692984,3025.391505588168,3.1145947838354155e-114,2.2441524970781305e-78,,,
entropy,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,full,-0.6880596203304218,0.32486783013736764,0.587267888675387,0.37766413861813486,0.5446893500824112,0.3383360301140257,2293.3908068087967,3023.451224586427,2.2648281932178576e-115,,,0.003838831300564642,1.6437640593890853e-79
entropy,IAS (min),gpt2_large,Smin,cosine_std,full,-0.8700338835804937,0.1428935668872957,0.40607843324624004,0.19647468318898786,0.34530090647535117,0.1389475865069657,2824.9393466580077,3549.709471553191,6.859361656632727e-29,8.692746290140421e-05,,,
entropy,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,full,-0.8440133697064326,0.16891408076135683,0.436196244113112,0.2265924940558598,0.3780327542362266,0.17167943426784116,2750.64719997926,3480.7076177568906,1.1506724354197801e-39,,,9.432990995957422e-17,6.778666617289435e-12
entropy,Surprisal,gpt2_xl,,,full,-0.9314773708424374,0.081450079625352,0.32841926291580814,0.11881551285855596,0.32519493838934077,0.11884161842095531,2747.0916513100265,2789.413994369599,1.4305615337304772e-53,,,,
entropy,IAS (mean),gpt2_xl,Smean,cosine_std,full,-0.6850129465883611,0.32791450387942833,0.5897751622453093,0.38017141218805717,0.5477957958535578,0.3414424758851723,2282.457959397075,3007.2280842922582,1.9632611295857605e-117,1.3074338866358525e-76,,,
